Park,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Joshua Tree,2015,169097,200450,256873,216432,177545,110176,102545,107537,123171,163512,200168,198250
Joshua Tree,2014,101069,152467,195810,187219,125920,76297,78413,94933,89968,131935,175727,180146
Joshua Tree,2013,114833,130396,197074,196575,127406,77567,74274,89444,71667,54688,120911,128505
Joshua Tree,2012,109800,128888,178259,186175,117183,72981,74748,68027,79377,104590,145103,130986
Joshua Tree,2011,116050,119977,194339,195244,124339,81534,74707,64969,71694,102752,135131,115501
Joshua Tree,2010,106932,123925,207336,190427,131035,76320,72789,80053,81596,117098,134653,112812
Joshua Tree,2009,98513,97112,171428,177361,123705,74463,65923,67161,79011,119870,126299,103625
Joshua Tree,2008,102205,127998,260407,177975,113044,60395,64621,66032,78831,117308,129558,94072
Joshua Tree,2007,95278,124960,149974,166256,105744,68848,68325,73565,76578,107220,156581,105650
Joshua Tree,2006,104777,117045,152137,189636,108837,67150,46833,58973,73089,105927,128990,103027
Joshua Tree,2005,89602,107227,267723,207664,126323,76272,50610,66270,70188,101034,113626,98572
Joshua Tree,2004,113881,112696,175444,183679,103122,64776,59155,59699,67954,104369,112344,86540
Joshua Tree,2003,117131,114255,162371,180230,120713,63436,54407,58947,66148,106265,125043,114400
Joshua Tree,2002,104712,103356,148922,153933,101747,57377,68581,56082,61721,88251,120774,112920
Joshua Tree,2001,101426,102687,171438,190339,104431,64616,76297,65376,72161,98221,132952,100973
Joshua Tree,2000,103797,116756,146710,168176,95876,67078,65298,62408,73924,99099,111312,123501
Joshua Tree,1999,104162,126667,182659,163839,140726,72775,61507,68923,79211,99979,119216,96676
Joshua Tree,1998,100222,98865,199882,219331,146876,80703,66074,64812,78495,117171,136325,101556
Joshua Tree,1997,98081,107308,199251,156804,100639,61011,64485,69070,68426,103148,118498,79552
Joshua Tree,1996,55687,87746,137817,156643,99730,60762,51275,59478,73373,97380,119103,96052
Joshua Tree,1995,78905,109820,170053,232390,132540,77487,65467,70552,73887,93875,89815,40911
Joshua Tree,1994,105235,93005,157012,162378,123553,55850,59001,57181,98808,95789,98680,78379
Joshua Tree,1993,70321,90308,170610,199928,122901,69347,75341,70931,93204,99040,102132,88338
Joshua Tree,1992,91836,98591,155137,216697,118709,68586,68775,65282,73059,88169,104536,71162
Joshua Tree,1991,75729,103484,135990,168319,120435,62850,54664,61584,64865,84298,111431,101809
Joshua Tree,1990,70104,91593,143344,160677,108509,49062,43891,48448,62216,79652,95195,69705
Joshua Tree,1989,70863,86190,159060,120429,79530,48443,37495,50503,79518,78353,98600,81230
Joshua Tree,1988,59997,79089,158537,144272,96523,48587,35818,43225,56694,73637,86460,72407
Joshua Tree,1987,58644,59757,118457,142020,131060,26767,29319,31199,39614,46867,72964,73417
Joshua Tree,1986,56857,58738,115476,161816,71516,26243,32586,29997,38283,47821,74139,69752
Joshua Tree,1985,52843,68129,93818,127574,54474,19899,19499,21686,29622,46923,55472,51233
Joshua Tree,1984,50582,70334,77459,115351,63892,42737,28366,23075,30771,50098,64068,47065
Joshua Tree,1983,49659,72930,98973,124414,76271,32439,29280,19828,27048,40849,52389,47346
Joshua Tree,1982,53567,66730,76795,140125,58123,38449,32823,34566,35973,47402,49118,39530
Joshua Tree,1981,53025,57039,63733,85381,63507,22150,22477,22410,37859,76858,61318,47209
Joshua Tree,1980,30316,46258,68994,82735,64638,27403,26570,30106,32169,31817,56367,47984
Joshua Tree,1979,33759,64577,80579,119233,42311,25863,27988,32224,26521,47948,56920,32620
Kings Canyon,2025,23451,15889,22823,42133,98420,118936,128217,119276,86040,68186,35955,20465
Kings Canyon,2024,15631,12782,19070,31276,88904,99922,116045,108771,88886,66519,29811,21772
Kings Canyon,2023,14363,14944,1481,27530,69344,126318,109259,81074,88018,56050,31780,22904
Kings Canyon,2022,21971,14419,19744,36642,79247,94402,120676,89257,81801,53287,18222,11318
Kings Canyon,2021,27701,21653,18571,37148,82199,104953,117408,77706,23595,10991,27376,13617
Kings Canyon,2020,19845,17975,6605,0,0,60989,101797,95540,42936,40030,21121,8239
Kings Canyon,2019,20295,9227,22067,41156,57345,90612,102440,113009,81206,55118,25439,14196
Kings Canyon,2018,19675,15188,19901,38693,74150,93585,122539,115274,86996,53965,29260,29797
Kings Canyon,2017,15418,11318,21097,37205,75564,101999,135073,102530,85345,54012,29885,23486
Kings Canyon,2016,18269,14271,16977,27366,60356,84684,120909,91602,81525,51885,25597,14038
Kings Canyon,2015,20698,10966,18601,28188,55976,71510,97830,69287,36798,36963,12326,8963
Kings Canyon,2014,11139,14673,14381,23704,56407,71759,88398,84014,59244,44194,15920,18435
