Park,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Channel Islands,1984,11177,14573,14608,15305,18535,18745,25778,26956,18004,14373,13643,11714
Channel Islands,1983,13809,14821,15833,14327,18302,20790,30820,26192,16808,12363,12325,8634
Channel Islands,1982,5451,13275,10530,11280,16845,14760,25454,26972,15384,11059,12296,8981
Channel Islands,1981,2815,5645,5603,5247,9070,7723,12086,13813,10969,5979,4479,4085
Channel Islands,1980,4418,2918,8054,8097,7760,13674,16783,19790,10025,4612,4919,3524
Channel Islands,1979,2732,3121,4774,5157,5805,6060,12639,15717,12187,6352,4087,4306
Joshua Tree,2025,278104,298792,411993,341516,230328,155366,139664,142794,148905,163674,295800,325708
Joshua Tree,2024,251664,283582,401378,343806,259803,171606,123786,143049,157399,212097,301653,342051
Joshua Tree,2023,285621,303933,434257,390555,263984,212700,144420,156172,189383,233697,313688,341994
Joshua Tree,2022,277128,302834,431849,358701,228627,159177,149070,135137,150533,222629,316911,325698
Joshua Tree,2021,229995,285687,375049,383735,285611,181050,125568,123163,163241,213088,334802,363411
Joshua Tree,2020,268187,298294,226600,0,89831,184139,147037,134518,168181,253877,360238,268640
Joshua Tree,2019,195993,261230,469183,374789,250928,187551,138967,120911,160294,233995,291230,303476
Joshua Tree,2018,297435,288392,404708,325715,247786,153556,130427,142015,149124,221232,299880,282112
Joshua Tree,2017,240124,260139,404545,361992,221752,125896,124571,142340,157084,223008,307770,284398
Joshua Tree,2016,193843,236807,327072,242959,220378,110505,149299,148427,156795,220065,248731,250405
